"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70"
"S301C";19152;52615;21321;6211;7823;1918;828;18011;726;1320;5742;1335;33684;7012;3418;5779;1539;10590;32460;7637;625;11699;37559;12253;1318;5886;26703;8439;1116;8114;11371;326;7522;19232;3452;574;1906;5057;168;14493;7351;2293;1844;2868;2916;446;6003;2104;2911;5330;1790;1249;903;17076;4409;2576;3429;3105;7900;2182;2616;4436;424;100;2080;11981;1254;5913;187;916
"S301D";15050;39609;12926;2418;4907;1599;509;5463;680;992;4860;1506;16722;5000;2557;5025;1148;9031;28239;6279;396;7498;32925;11148;433;5002;22969;6409;867;8887;12769;562;2853;23286;1786;388;1072;3688;180;9831;4862;959;932;1940;2155;404;5486;713;3260;3930;1356;949;715;12812;3412;1934;3096;1224;6830;1505;2063;3026;538;56;1723;10878;793;8055;170;696
"S342A";15083;23108;11832;3485;4911;870;335;18273;438;117;3243;119;3175;3419;990;4217;2827;5184;11104;3426;2214;976;7979;3133;3469;8636;8895;2916;1260;28019;50729;1940;5315;35779;2485;420;275;3611;59;45079;20475;9045;5505;13573;1934;24307;37784;5034;8622;2761;14585;11576;25506;9508;10607;2652;6752;253;38187;12353;6523;14138;796;7783;3423;14595;1934;9064;507;1131
"S342B";2090;2489;2835;243;972;341;40;9252;157;688;1971;61;609;1340;259;510;563;1233;1243;501;563;380;2569;1085;3245;895;1085;1137;381;6691;13684;1614;1019;77050;113;96;49;1825;158;2520;2474;3739;477;1331;491;6749;6273;906;8052;234;1844;1793;5537;695;689;174;2886;18;5069;306;215;602;299;532;311;2169;733;460;51;1105
"S342C";18822;29267;15599;4569;5484;777;1374;28985;747;486;4282;186;4157;4226;1770;5177;2046;6639;14272;4066;1812;3107;9456;3534;5997;7025;11133;3503;1389;23752;42450;1635;8329;34303;2964;365;266;4460;510;64370;24404;12089;8958;15699;2071;19586;31286;6300;7480;3322;11443;16474;20621;4000;8553;1685;4379;299;30794;9431;3813;12901;570;10636;3562;12425;1636;8180;516;1950
"S342D";16479;23971;12226;3676;4798;761;980;22080;611;250;3067;192;3380;4463;1533;3881;2439;5319;11011;2932;1618;2293;8882;3184;3350;5630;8307;3332;1079;12879;26930;894;6417;18309;2565;359;253;3535;226;51652;21248;9031;6275;13388;1515;16013;24929;5006;5855;2708;9685;11204;15725;3483;7520;1742;3681;202;23072;5947;2815;7946;459;8838;2385;9548;2118;6197;418;1320
"S456A";7573;11207;11431;3695;4736;1172;834;36488;486;241;3124;646;13618;1882;741;3255;5030;6129;16485;4573;2130;2488;7869;3182;5377;6426;26756;5573;14543;34969;42851;2947;10261;37345;2045;763;50;775;81;6659;8151;11094;10799;9859;62;3402;2337;5064;7102;7237;2202;3434;2428;12273;5292;4769;5138;281;700;9991;6696;9800;668;2368;3858;6265;4963;13728;5495;301
"S456B";7100;10419;10371;2822;4153;1354;943;30609;527;368;3190;804;13108;1772;860;2826;5804;5568;14673;3492;2031;2968;6416;2677;5993;5769;23223;4679;11403;29666;39230;2885;9449;36522;1677;682;42;663;257;5783;7073;9230;11149;10073;76;3464;2879;4078;6961;5987;2992;3856;2850;16084;6372;5580;6257;213;991;16794;8898;13955;601;2176;3554;7129;5032;14650;5077;345
"S456C";5560;8036;7388;2643;4187;863;943;23735;373;196;2174;531;9438;1216;943;2802;3782;4733;12629;3492;1220;2917;7310;2651;5659;4939;22373;5297;10224;31254;39142;2087;6934;36721;1739;592;28;851;111;4660;5173;9686;12421;8501;50;2695;2243;5961;5561;6322;2525;3131;2053;11824;5841;4302;5034;223;747;15870;8249;14318;472;1695;3946;5781;4796;12833;4656;233
"S456D";3728;5817;4866;1818;3198;841;776;20704;452;251;1626;721;7560;745;642;2220;3417;3325;10065;2863;814;2021;6529;2030;3783;3909;18280;4875;6900;27798;33552;1778;4094;30619;1360;553;20;602;59;3356;3543;7944;11190;8071;49;2661;2288;6197;5286;5256;2374;2901;2081;11630;5176;3515;4513;183;778;15593;8641;15596;686;1186;3371;5411;3723;13905;3747;143
"S477A";17227;18623;10262;2490;4411;584;505;6467;393;45;2338;1017;31200;2924;1076;1921;1940;7591;23676;4869;667;9164;8285;3942;2245;7516;11892;2150;2459;39334;35752;1030;6099;20182;2499;168;241;1043;6;24633;7085;1769;3923;8763;451;637;9922;1388;3261;4064;5194;2619;727;4473;16198;1549;1153;712;2493;8337;1460;2993;1054;4014;1623;4779;4250;11897;834;684
"S477B";26306;26069;17253;3504;7791;2007;342;4482;790;8368;17696;915;14512;4980;1896;3880;2344;11805;34353;7644;1065;6229;12334;6385;3863;10790;16943;3045;3581;35838;55718;5648;14224;106065;2576;135;260;3793;66;31484;10454;2481;7376;17323;1504;1459;21898;1879;18346;4121;12660;9720;2049;5297;25393;3627;14500;483;7627;36894;8152;29619;13244;5051;2005;13179;5737;57922;904;5600
"S477C";28011;27617;16051;4432;8208;1267;1306;9754;857;421;5713;761;47568;4769;2923;4385;2984;15421;43790;10131;1092;15476;17535;7817;2987;12590;24388;5113;4052;36157;42625;1643;9641;20904;4520;223;391;3802;19;36461;11082;2889;9247;18421;1034;983;17489;2664;5249;7278;9840;6268;1627;8456;28830;2770;3383;1186;4826;14172;2975;7822;734;5935;2930;8626;12764;19148;1422;1370
"S477D";23075;22158;12833;3360;7490;1299;1274;8502;635;217;4722;430;43088;3763;2255;4207;4569;13000;37951;9033;1130;14596;16788;6947;3260;16487;17669;3499;3670;51680;50209;2304;7155;31036;4035;172;472;4007;86;29484;10538;2777;12443;27894;1557;1258;29326;2964;7559;6791;15559;9895;2660;11631;42693;3230;3453;1522;8031;21545;5294;13368;1284;4958;3759;14559;10118;31191;1313;1362
"S668A";36330;57964;55569;9748;4542;686;1141;21488;375;91;3310;299;12100;13834;1831;4070;2220;9506;12660;5144;1354;2466;9909;4367;2358;3440;8354;3383;1595;7608;20948;936;14991;15483;2752;324;1169;1134;54;42097;33763;12322;3638;4291;174;393;1871;5993;5481;1654;5461;208;805;7646;2102;1223;2692;4485;248;9088;2547;5757;159;8406;1081;2238;1516;2433;221;215
"S668B";48077;73847;76323;9091;7104;2397;1439;22560;1107;17884;25015;1038;6661;23308;2954;6709;1730;11933;14868;7439;1660;2559;16377;7139;3358;2863;11833;6437;1710;7495;25537;1143;22443;81420;1556;404;749;3782;85;37306;29538;9226;2312;4315;498;1139;2398;3418;18561;1190;6150;969;1048;2390;1230;1167;9026;1178;441;10432;2053;7801;3890;7004;936;3785;1939;4291;207;1230
"S668C";37774;63468;59516;10545;5109;700;2808;24923;940;530;4756;1125;10605;16533;3250;4965;2221;10431;14316;6084;1628;4913;14201;5491;3359;3409;11692;5537;1729;10848;29740;1705;17971;26913;2938;287;1163;3180;112;46302;33481;13771;4795;8330;270;545;1718;7065;6666;2108;5368;940;662;3064;1753;1147;4505;3546;273;6287;1809;5856;242;8923;1402;2622;3571;4507;212;479
"S668D";35365;56332;53587;9206;4875;678;2487;28466;365;125;3078;784;14609;13855;1864;3963;4374;8661;13359;4917;1302;5869;11697;4272;3592;3157;8409;3980;1414;16634;37605;1355;13532;32186;3170;387;1250;1779;104;42172;32226;12037;9800;13381;142;456;1864;9463;7262;2232;6668;1908;772;5525;2288;1387;3282;5326;420;9695;3598;8325;358;8550;1266;2637;2914;5405;249;794
"S683A";46944;73936;41352;6172;6632;440;713;30109;1745;217;1539;4542;17977;6824;9455;3349;3206;5607;18344;2749;607;5818;7270;3179;3681;2720;19161;5728;1483;22514;19568;1038;7434;51549;3972;686;286;1430;49;56391;21960;11604;10013;7579;88;618;2684;10429;3792;6637;2106;4317;281;9004;4116;4547;5390;1331;2934;15272;19873;22010;620;10686;2113;4449;2842;2654;727;198
"S683B";27838;36171;25607;3040;3996;270;749;12937;674;593;2100;499;8043;4343;4882;2113;1451;3623;9726;1776;345;3015;4445;2035;4263;1537;10172;3201;885;11261;12506;1116;4697;48118;2066;366;138;1192;96;28981;15365;8327;3709;2556;56;440;1232;5861;6511;3349;865;1590;146;2974;1690;1879;2431;401;1254;4973;4704;5597;1297;5826;1116;2256;2069;4687;343;951
"S683C";41846;57667;36501;4807;5274;380;1235;23585;934;180;2117;363;13952;6166;8712;3345;1473;5444;16402;2845;438;5706;6223;2798;2396;1973;15073;3810;1285;18515;20316;750;5472;45406;3518;503;186;1132;19;51333;23354;5335;3912;2712;57;465;1466;4172;3494;6216;873;1341;179;2784;2300;1502;1931;529;1261;5016;4856;6168;468;10119;1925;2620;2675;2179;549;330
"S683D";45570;62682;32232;2474;3734;629;1196;8538;897;124;1710;356;10157;6253;9798;3142;4580;4672;15765;1959;444;4794;4993;2461;532;1766;11406;2975;1005;17608;16892;2904;5121;59009;2724;265;140;558;14;55320;23373;2901;4226;2839;91;623;2484;2378;8909;4470;1342;2117;289;4114;2653;2352;5792;306;1857;7330;9935;13093;376;10694;1641;3637;2414;3085;410;329
"S795A";36574;70765;24861;4778;4625;1249;786;26270;849;609;2403;260;11953;8181;2223;2994;6395;5039;11728;3914;605;2921;4365;2762;4627;3269;10100;1767;366;25116;27448;178;2385;22232;3595;632;262;240;90;96048;32331;3870;4330;11524;95;993;4906;3468;4659;3093;1033;1308;2520;6151;4765;2771;4947;515;3760;22145;4935;18810;371;258;1240;3842;2665;3328;118;542
"S795B";35535;59093;29258;4048;3904;1250;699;18678;767;1002;3509;181;10098;9065;2556;3114;6597;5273;10126;3688;614;2732;3657;2971;4450;3015;9472;1598;367;28908;37945;274;2020;40797;3263;582;319;252;37;74260;36089;4583;3174;9923;98;871;3875;3040;6743;2863;870;1338;2137;5742;3856;2963;3131;458;3404;20289;4582;16100;449;203;1026;3298;2782;3433;110;631
"S795C";48532;92843;41175;6231;5625;1363;4209;38855;1043;2261;5415;548;17364;13208;6400;4384;6551;6963;15696;5128;905;10095;5209;4106;5373;3751;13303;2314;488;23962;34312;168;3215;37111;4725;896;497;570;257;122296;45216;7318;9518;26514;165;1459;6234;5810;7644;3972;1519;5215;4752;3966;6479;6500;6070;884;4757;31598;6923;33976;574;349;1245;4826;9467;3971;176;804
"S795D";45497;77349;34803;3709;2938;897;1560;14178;690;1069;3188;232;11093;11958;3026;3088;7089;6668;11256;3424;674;4745;3457;2926;633;2822;8251;1415;351;27732;37833;259;1573;41432;3508;206;208;171;34;103380;48869;1212;2045;6440;92;883;4049;943;9183;2358;585;924;2731;3142;2918;2372;8057;184;1772;6765;1528;7772;335;275;857;2424;2259;3435;100;810
"S878A";30736;47859;27484;3789;4882;732;417;15443;376;167;2220;183;12109;8722;1742;3245;2893;7357;16198;4962;909;1889;7529;4429;1311;4274;9363;2645;1071;25529;22557;4363;3190;25802;4011;305;603;829;36;49324;31010;8071;3032;10528;36;601;4166;2972;5255;3303;4483;6251;1924;4479;2567;1873;5507;1594;2617;3709;9051;6407;617;165;812;3117;1195;6748;101;240
"S878B";13050;20409;12105;1510;2106;414;193;3944;230;4050;5716;132;2525;3696;941;1501;1036;2812;5571;1887;296;415;2923;1823;818;1364;3100;1000;555;8816;9444;3111;1705;29434;1124;128;229;718;166;18879;11859;1671;1174;2856;48;643;1922;1143;5948;909;2283;3803;664;616;871;739;2478;188;1388;842;3563;2946;2124;45;274;1691;828;9038;24;862
"S878C";10917;17563;9982;1594;1651;207;612;4082;146;142;853;68;3696;3029;972;1206;1087;2472;5106;1571;246;3968;2445;1432;410;1372;2855;832;314;6386;5977;1738;1125;10428;1152;103;189;1675;72;20248;11317;2075;2100;5308;107;490;1898;1567;2149;1039;2144;5655;789;835;1093;679;2457;400;1381;1601;5504;5013;294;26;240;1151;770;4480;14;75
"S878D";32370;48874;27405;4050;4720;879;998;12538;667;413;3554;127;10717;8816;3747;3598;3650;7835;17731;5274;962;6439;7728;5018;1279;4508;11062;2963;1020;17124;20190;6166;3007;25705;3588;302;683;6433;96;55781;29639;7119;5794;16576;471;1246;5083;2940;6891;3164;6390;14081;2049;2930;3721;2043;6786;1520;3660;4744;14211;12544;1418;165;791;3661;2118;14303;87;345
"S953A";16990;26508;23850;2227;2808;909;265;13279;203;85;1850;192;5737;7711;1080;1466;2313;3452;7296;2654;576;1554;5554;3088;2974;4349;7434;2060;641;12170;15161;739;1283;19857;2810;208;213;1273;52;21272;17109;5286;5381;5790;61;600;4662;1934;3781;4891;1887;985;1250;5191;3306;2170;1956;476;1608;6900;3106;8308;352;60;1233;1097;2294;2607;142;557
"S953B";27125;39454;37457;3268;5637;2052;591;23039;468;508;4105;602;10591;12810;2262;2638;2171;6049;12920;4551;966;2326;9619;5894;4678;7746;13729;3660;1058;19369;28482;1125;1749;39324;4493;344;309;2364;85;28195;24189;8110;7917;8940;128;1294;9328;3639;7725;8412;3448;1453;2599;8132;5862;3100;3154;714;3119;11682;4296;12666;866;143;2077;2059;3086;6188;299;1105
"S953C";25492;43045;38384;3218;4471;1300;1671;10803;643;1566;5157;555;4819;12377;2759;2532;1688;5357;11414;4009;797;4085;8973;5437;2605;5911;13323;3427;1172;7966;11917;749;2102;25614;3848;217;252;5445;183;31467;22986;7066;13284;12030;460;1973;7020;2648;4756;6696;3435;3267;2324;3285;4908;3757;4048;517;2416;12795;5283;18909;697;82;1880;1862;5941;5854;216;1768
"S953D";23421;38435;32257;3034;4108;1058;1177;12423;483;392;3359;331;4939;10892;2389;2252;2887;4844;10611;3838;803;2850;8286;4836;4171;6175;11435;3277;1026;9924;15117;1262;1677;22490;3258;257;252;3416;374;26337;19758;8639;15160;13856;325;1429;8295;3680;4850;5889;3763;3584;2782;5014;5296;4045;4110;600;2835;12147;5779;19061;667;109;1679;2099;5799;5402;222;1390
"S004A";16572;20367;14004;1576;2975;855;795;12890;522;278;1303;134;12264;982;2176;1116;1385;2403;7699;1729;241;4175;7449;242;308;2378;6161;2924;468;17903;31589;134;2282;12853;1444;263;384;1908;4;18236;15061;3161;3939;6905;83;361;7198;1549;6002;2285;717;2538;1343;4274;2105;1505;3017;1372;1370;4085;2211;4593;918;2666;503;16225;1062;5346;242;568
"S004B";11136;14778;10291;1075;1933;934;977;7706;335;5209;7078;303;3557;643;1665;808;1111;1522;4769;868;192;2244;4040;179;626;1248;3737;1413;267;2306;8631;98;2243;67327;524;192;231;1235;26;15520;8439;2795;4364;4720;218;399;6706;1898;3901;799;1060;6144;1231;1617;1708;2126;4945;285;1726;7320;5407;9200;7131;1805;157;15138;1583;7459;115;1153
"S004C";13563;18296;13987;2235;3481;712;1616;15001;507;851;2074;154;8723;1098;2461;1190;1500;2487;6892;1595;274;5794;8105;267;503;1530;5635;2995;464;12279;28586;108;3335;13965;1294;180;366;3054;46;18561;16504;3566;4607;7699;617;376;6260;1771;5719;1666;885;5047;2264;1957;1824;1158;3583;757;1079;7016;2981;8105;1842;2721;381;11361;1804;4680;165;524
"S069A";1592;1076;1069;163;159;45;35;568;14;38;81;7;420;128;134;52;4;199;374;59;32;167;384;12;7;62;319;162;31;197;356;14;113;382;95;8;23;37;0;885;780;46;82;294;26;63;51;39;107;117;27;50;43;27;103;26;50;38;47;39;50;51;0;47;19;146;12;15;23;55
"S069B";1696;1322;1300;162;137;36;39;542;17;26;109;14;502;167;155;50;15;187;377;82;22;224;399;17;15;74;326;190;28;222;390;9;101;234;105;7;24;26;0;1076;939;55;103;348;34;80;81;52;81;156;35;73;55;34;133;28;41;27;69;44;45;93;1;60;25;202;23;20;34;20
"S069C";1724;1395;1045;194;174;36;41;765;13;21;86;5;485;132;98;36;4;164;332;47;18;262;355;9;19;40;260;180;21;103;206;12;85;291;99;5;13;19;1;1164;820;41;77;254;24;49;41;36;80;107;35;46;37;18;46;34;37;24;41;23;28;51;1;46;14;98;10;10;35;10
"S102A";26964;26798;20987;1788;2870;1114;736;12458;471;539;1795;326;11767;2462;1963;2097;381;5112;14669;3472;341;3522;9197;517;1718;845;9224;3643;1744;12706;17178;18;3811;27469;4984;411;165;1518;1;23092;12579;4063;984;1207;32;274;135;3069;2913;10395;241;1486;275;2283;1158;1078;214;308;207;5739;1242;3179;1922;4380;1182;588;895;4061;1001;338
"S102B";36858;38764;30365;2465;3370;1144;815;13850;535;570;2326;242;14506;3065;2510;2865;358;6553;19107;4419;389;3487;11291;721;982;1150;12063;4318;1849;10510;14343;25;4203;17294;6019;267;187;1798;4;34234;17519;5386;1009;1071;47;360;166;3904;2306;13360;302;864;298;1618;1563;1058;159;371;229;3735;736;2101;1242;7032;1642;748;1052;2105;1479;289
"S102C";29814;30100;31651;2626;3987;1125;1853;15086;473;2155;2812;288;7415;3741;2601;2719;536;7010;15513;3551;518;3762;11581;814;1207;1060;10880;4458;2178;5696;9053;36;6033;23422;4993;388;210;2666;9;24165;19155;6360;1242;762;71;305;216;5066;3007;10185;273;1000;254;734;1169;928;332;309;205;4841;1282;3120;2787;4793;1118;566;2606;4665;992;154
"S106A";9370;13005;12255;557;3762;687;487;7998;163;22;780;30;8264;364;504;655;459;3976;7070;1502;100;1852;3358;229;187;742;1734;540;400;7807;14959;403;2652;7073;1766;327;562;103;0;9218;4170;1687;3424;3470;4;1599;1624;1194;2457;1533;921;394;2036;1089;2052;747;1481;465;296;3978;1524;3965;476;1191;583;4334;407;2513;173;294
"S106B";7518;11101;13529;697;6106;2946;13229;11527;634;10183;21511;493;3149;369;1509;903;310;3556;5497;1248;106;2150;3480;422;1303;435;2605;1070;385;1685;6567;73;3846;35263;1466;357;432;357;39;11283;2616;2304;5023;3525;63;1423;1197;1807;1187;1055;730;774;1534;136;1397;890;2075;219;390;2076;3506;9867;591;1078;348;3459;1164;1049;128;1830
"S106C";5933;8387;9178;416;3348;817;1785;12246;324;2933;5030;55;3707;230;882;440;451;2450;4080;1018;46;7036;2946;162;904;219;1594;615;345;1422;7173;204;2557;39351;866;485;347;1113;12;7831;1799;1149;3034;2877;281;1560;923;757;1334;617;495;510;1316;97;866;304;904;160;152;1184;738;3291;711;683;177;2324;1027;2904;82;1397
"S229A";5568;4182;4710;207;1295;835;1104;7011;119;214;825;68;10467;245;156;355;70;3561;5732;1359;151;1939;2002;164;37;604;1597;440;472;4856;4301;148;2617;4447;2019;37;28;56;0;3892;2649;552;428;528;360;636;2601;348;1353;1453;1912;1132;1113;1416;2316;408;669;129;3385;2022;1794;2292;511;597;226;2941;268;1785;2186;142
"S229B";6099;5127;4849;235;1738;1025;816;5086;156;916;1303;50;6943;276;268;540;98;3587;6147;1559;164;1477;2596;166;63;570;1865;519;540;6569;7668;146;2602;18054;1446;58;29;103;1;3455;2854;402;295;397;380;528;1755;375;1768;1474;1446;792;743;851;1590;236;343;68;2103;1033;1016;1121;1571;713;257;2328;153;2706;2382;150
"S229C";4136;4957;2862;161;931;285;776;3762;49;158;247;57;4206;277;74;137;52;2098;3343;760;121;1578;1217;52;34;217;1116;321;318;3418;2258;97;2057;5457;813;14;10;88;0;3078;1175;233;133;153;70;275;341;234;889;615;257;175;346;201;454;109;401;8;246;381;209;439;129;487;95;265;78;1460;1062;25
"S464A";4066;3449;5060;368;803;453;1265;3208;193;489;375;120;2516;376;412;243;64;2302;914;190;95;2032;1126;162;151;220;1267;268;100;1669;6222;53;1649;3118;1295;116;11;258;0;2578;2187;827;570;372;11;325;419;466;1527;264;332;46;215;506;471;421;438;248;202;1014;219;1061;154;494;182;184;438;861;494;1477
"S464B";5710;4736;7687;449;1011;486;934;3309;160;318;686;50;3528;675;299;394;66;3953;1715;361;161;2117;2105;349;189;513;2141;621;161;2283;6900;114;1813;3071;2105;204;24;694;3;3285;4028;3245;1153;632;20;654;834;1581;2078;510;1115;87;375;1152;1086;724;702;462;403;1720;358;1501;153;863;385;815;835;1221;1149;535
